Date,Price,Open,High,Low,Vol,Co,Hl,Ind,Rvn,Gap,Gaug,rVol,Tckr
2003-10-06,1.339,1.3465,1.3482,1.3387,0.0,-0.556999628666921,0.7096436841712128,21.509957589852092,-0.305263941627576,0.2531457076911714,3.1578947368417363,NaN,CAD
2003-10-07,1.3312,1.3395,1.3416,1.3272,0.0,-0.619634191862628,1.0849909584086825,42.89038198332792,-0.5825242718446644,0.03734129947721154,27.777777777777864,NaN,CAD
2003-10-08,1.3323,1.3312,1.335,1.3254,0.0,0.08263221153845812,0.7243096423721118,88.59159029447159,0.08263221153845812,0.0,71.87500000000094,NaN,CAD
2003-10-09,1.3383,1.3322,1.3417,1.3279,0.0,0.4578892058249462,1.039234882144724,55.93977707138005,0.4503490204908811,-0.007505817008179871,75.36231884058049,NaN,CAD
2003-10-10,1.3226,1.3384,1.3396,1.3184,0.0,-1.180514046622838,1.6080097087378453,26.585390610020387,-1.1731300904132103,0.0074721661809773465,19.811320754717002,NaN,CAD
2003-10-13,1.3214,1.3192,1.326,1.318,0.0,0.16676773802304368,0.6069802731411222,72.52501516070353,-0.09073037955542596,-0.25706940874036244,42.49999999999806,NaN,CAD
2003-10-14,1.3232,1.3222,1.3314,1.3205,0.0,0.07563152321887756,0.8254449072321091,90.8374838155479,0.13621916149537672,0.060541849553508165,24.770642201834377,NaN,CAD
2003-10-15,1.3276,1.3212,1.3305,1.3212,0.0,0.4844081138358991,0.7039055404178152,31.1827956989271,0.3325272067714602,-0.15114873035066978,68.81720430107421,NaN,CAD
2003-10-16,1.3185,1.3276,1.3302,1.3122,0.0,-0.6854474239228581,1.3717421124828544,50.03088279602369,-0.6854474239228581,0.0,34.999999999999815,NaN,CAD
2003-10-17,1.3135,1.3184,1.3228,1.3113,0.0,-0.37166262135923667,0.8769922977198252,57.62076561840313,-0.3792188092529458,-0.007584376185054698,19.13043478260841,NaN,CAD
2003-10-20,1.3191,1.3155,1.3219,1.3136,0.0,0.273660205245152,0.6318514007308096,56.68915113132105,0.42634183479253185,0.15226494099733756,66.26506024096211,NaN,CAD
2003-10-21,1.3175,1.3192,1.325,1.313,0.0,-0.12886597938144284,0.9139375476009182,85.89991408934719,-0.12129482222728027,0.007580926389194609,37.49999999999954,NaN,CAD
2003-10-22,1.3034,1.3176,1.3182,1.3019,0.0,-1.0777170613236353,1.2520162838927762,13.92148207747017,-1.070208728652755,0.0075901328273397795,9.202453987729058,NaN,CAD
2003-10-23,1.3056,1.3035,1.3111,1.301,0.0,0.1611047180667402,0.7763259031514202,79.24779819754164,0.16878932023938198,0.007672241829070892,45.544554455447134,NaN,CAD
2003-10-24,1.3059,1.3058,1.3084,1.3027,0.0,0.007658140603461483,0.4375527750057673,98.2497789887493,0.022977941176471894,0.015318627450988664,56.140350877194216,NaN,CAD
2003-10-27,1.3109,1.3075,1.3132,1.3055,0.0,0.2600382409177593,0.5898123324396654,55.91169824439712,0.38287770885978567,0.12252086683512964,70.12987012986983,NaN,CAD
