Date,Price,Open,High,Low,Vol,Co,Hl,Ind,Rvn,Gap,Gaug,rVol,Tckr
2021-02-05,34.049999,32.610001,35.200001,31.75,62375300,4.415817098564334,10.866144881889772,59.361695002576084,6.240249804687981,1.7472761855624297,66.6666183575019,97.60906066846191,PLTR
2021-02-08,36.049999,37.220001,39.220001,35.889999,72376000,-3.1434765410135346,9.278356346568861,66.12032968343587,5.873715297319104,9.30984461996609,4.804801919037784,16.033109259594735,PLTR
2021-02-09,38.169998,36.900002,38.255001,36.130001,44243200,3.441723390692486,5.881538724563007,41.48260256590927,5.8807186097286746,2.3578447255990342,95.9998588235294,-38.870343760362545,PLTR
2021-02-10,35.700001,38.150002,38.240002,35.0,45177200,-6.4220206331837115,9.257148571428564,30.6263631437789,-6.47104304275834,-0.05238669386359307,21.604955799410032,2.1110588745841152,PLTR
2021-02-11,33.110001,35.790001,35.98,32.610001,52094900,-7.48812496540584,10.334249913086492,27.54070175984945,-7.25490175756579,0.2521008332744712,14.836799654836692,15.312369956526739,PLTR
2021-02-12,31.91,33.360001,33.650002,31.34,60925600,-4.3465256490849535,7.370778557753677,41.030304803925574,-3.6242856048237404,0.7550588717892159,24.675303311425708,16.951179482060617,PLTR
2021-02-16,27.84,30.02,30.440001,27.299999,180294300,-7.261825449700199,11.501839249151624,36.86378941319467,-12.754622375430902,-5.922908179254149,17.197473122628594,195.9253581417335,PLTR
2021-02-17,27.08,27.99,29.73,27.0,151007000,-3.2511611289746334,10.111111111111114,67.84565916398715,-2.7298850574712707,0.5387931034482651,2.9304029304028676,-16.24416301569157,PLTR
2021-02-18,25.17,24.99,26.309999,24.5,313175100,0.7202881152461149,7.387751020408162,90.25023835729753,-7.053175775480048,-7.717872968980799,37.01659503679291,107.39111431920377,PLTR
2021-02-19,29.0,27.02,29.959999,26.9,320063700,7.327905255366396,11.37546096654276,35.58146542879397,15.216527612236774,7.350019864918544,68.62747340767106,2.199600159782822,PLTR
2021-02-22,28.0,29.959999,30.190001,27.535999,183049500,-6.542052955342226,9.638299304121855,32.12440546908009,-3.4482758620689613,3.3103413793103442,17.48306896528337,-42.80841594970002,PLTR
2021-02-23,26.75,25.959999,27.459999,23.9,145289400,3.0431472666851755,14.895393305439342,79.56987637530919,-4.46428571428571,-7.28571785714286,80.05620226297816,-20.628354625388212,PLTR
2021-02-24,26.389999,26.709999,27.23,25.75,90095700,-1.1980532084632456,5.7475728155339745,79.15549316356176,-1.3457981308411249,-0.14953644859813098,43.24317567567563,-37.98880028412258,PLTR
2021-02-25,23.959999,25.82,26.440001,23.15,161776400,-7.203721920991479,14.211667386609083,49.31121222426601,-9.208033694885698,-2.1599053489922415,24.620022911847176,79.56062276002073,PLTR
2021-02-26,23.9,24.200001,24.5,22.700001,119588600,-1.239673502492833,7.929510663898198,84.36633034448306,-0.25041319909905324,1.0016778381334746,66.66664814813778,-26.077845717916826,PLTR
2021-03-01,24.809999,25.190001,25.9,24.620001,85059900,-1.5085430127612875,5.1990209098691675,70.98409414169389,3.807527196652738,5.397493723849367,14.843605346566893,-28.87290260108405,PLTR
2021-03-02,24.48,25.0,25.59,24.26,73997000,-2.079999999999993,5.48227535037098,62.05954887218057,-1.330104850064684,0.7658242952770733,16.54135338345858,-13.006011058089651,PLTR
2021-03-03,23.59,24.99,25.167999,23.43,79046200,-5.602240896358534,7.417836107554421,24.476076107247245,-3.635620915032678,2.083333333333326,9.205989186414968,6.823519872427264,PLTR
2021-03-04,24.73,24.85,25.559999,23.049999,161611200,-0.48289738430583595,10.889371405178805,95.56542461141349,4.832556167867752,5.341246290801194,66.9323107569721,104.45157388969997,PLTR
2021-03-05,23.950001,24.360001,24.68,20.18,173468600,-1.6830869588223774,22.299306243805738,92.45229003799209,-3.1540598463404734,-1.4961544682571826,83.77780000000001,7.3369914956389115,PLTR
2021-03-08,22.52,23.77,24.58,22.4,94432800,-5.258729490954983,9.732142857142856,45.965348349820346,-5.970776368652341,-0.751569905988736,5.504587155963349,-45.56202102282489,PLTR
2021-03-09,24.26,23.379999,24.74,23.1,99586500,3.7639052080369995,7.0995670995670945,46.98401810630808,7.7264653641207826,3.8188232682060397,70.7317073170733,5.4575317050855165,PLTR
2021-03-10,24.75,25.030001,26.24,24.27,103212800,-1.1186615613798745,8.117016893283878,86.21831670320326,2.0197856553998195,3.17395300906842,24.365482233502572,3.641357011241486,PLTR
2021-03-11,26.73,25.950001,26.84,25.58,84788700,3.0057763774267388,4.925723221266631,38.97796846462245,8.000000000000007,4.848488888888891,91.26984126984132,-17.850596050102308,PLTR
2021-03-12,26.92,25.74,26.92,25.18,58721900,4.584304584304588,6.910246227164429,33.65931641793718,0.7108118219229409,-3.703703703703709,100.0,-30.743247626157732,PLTR
2021-03-15,26.790001,27.35,27.469999,26.309999,56101500,-2.0475283363802554,4.40897014097188,53.55994096324468,-0.4829086181277864,1.5973254086181221,41.37948275862059,-4.462389670633959,PLTR
2021-03-16,25.610001,26.75,27.1,25.23,73615100,-4.261678504672894,7.411811335711449,42.50152477385176,-4.404628428345337,-0.1493131709849549,20.320909090909083,31.217703626462743,PLTR
2021-03-17,25.209999,24.52,25.73,24.299999,77081700,2.8140252854812475,5.88477801994971,52.18128405282999,-1.5618976352246183,-4.256153679962759,63.63631913544114,4.7090882169554815,PLTR
2021-03-18,23.98,24.73,25.18,23.780001,57141400,-3.0327537403962768,5.887295799524983,48.486472505068036,-4.879012490242463,-1.9040024555336155,14.285653061180877,-25.8690454413953,PLTR
2021-03-19,24.32,24.01,24.57,23.389999,57915900,1.291128696376509,5.044895470068211,74.40722599631877,1.4178482068390341,0.12510425354461674,78.81357727662945,1.3554095629438656,PLTR
